task_id,learner_id,VanA,C_Harrell,C_Uno,C_Gonen,IGS,ILL,RMSE,MAE
aids2,surv.kaplan.class_nonpar_kaplan.compose_distr.compose_crank,1.006559399,0.5,0.5,0.25,0.140835972,0.015645222,434.3847561,378.5718326
aids2,surv.kaplan.class_nonpar_nelson.compose_distr.compose_crank,1.008346989,0.5,0.5,0.25,0.140843295,0.015635294,435.9899189,380.1169736
aids2,surv.kaplan.class_nonpar_akritas.compose_distr.compose_crank,1.007951004,0.54392271,0.53150661,0.814962161,0.140685909,0.01563621,433.4158993,377.7797818
aids2,surv.kaplan.class_semipar_coxph.compose_distr.compose_crank,1.003439489,0.560563266,0.542313123,0.547455907,0.140509325,0.01644282,437.1621336,377.4699836
aids2,surv.kaplan.encode.nop.class_semipar_cvglmnet.tuned.compose_distr.compose_crank,1.006559399,0.5,0.5,0.25,0.140835972,0.015645222,434.3847561,378.5718326
aids2,surv.kaplan.class_semipar_penalized.tuned.compose_distr.compose_crank,1.002648777,0.55949173,0.540973187,0.988979113,0.140403768,0.016385402,435.8568982,377.1260722
aids2,surv.kaplan.class_par_param.tuned.compose_distr.compose_crank,1.053226478,0.563388717,0.542721045,0.57157234,0.14702441,0.014804978,1813.738897,1684.101153
aids2,surv.kaplan.class_par_flex.tuned.compose_distr.compose_crank,0.99998904,0.560585391,0.542344642,0.547681796,0.140337009,0.016010722,644.518228,537.5004839
aids2,surv.kaplan.ml_ranfor_rfsrc_brier.tuned.compose_distr.compose_crank,1.017595495,0.539705396,0.532293284,0.981549465,0.136988961,0.019251344,431.2800366,372.2191378
aids2,surv.kaplan.ml_ranfor_rfsrc_logrank.tuned.compose_distr.compose_crank,1.013048412,0.545209467,0.534389412,0.980340529,0.137436497,0.019752448,427.3928148,368.6176471
aids2,surv.kaplan.ml_ranfor_ranger_c.tuned.compose_distr.compose_crank,1.004983579,0.543853986,0.535426176,0.98463757,0.135530157,0.017987526,459.2668846,398.9277387
aids2,surv.kaplan.ml_ranfor_rscif.tuned.compose_distr.compose_crank,2.978591297,0.548630917,0.536051583,0.980321157,0.159697586,0.244264338,442.4330663,382.1688688
aids2,surv.kaplan.ml_ranfor_rrt.tuned.compose_distr.compose_crank,0.35659629,0.528742135,0.519207424,0.324433219,0.177000102,0.052185949,325.1943455,238.9703986
aids2,surv.kaplan.ml_gbm_mboost_coxph.tuned.compose_distr.compose_crank,1.010390716,0.539810717,0.52814666,0.460165405,0.140739435,0.024310929,397.5728038,343.7472599
aids2,surv.kaplan.ml_gbm_mboost_cindex.tuned.compose_distr.compose_crank,1.000750494,0.530049169,0.520220852,0.413869804,0.139917101,0.019612711,419.9374567,365.1004987
aids2,surv.kaplan.ml_gbm_mboost_gehan.tuned.compose_distr.compose_crank,2435.832813,0.552797139,0.53786242,0.527251506,0.69193939,0.176063283,2089.39271,2066.437815
aids2,surv.kaplan.encode.nop.ml_gbm_coxboost.compose_distr.compose_crank,0.995506335,0.552794075,0.539814949,0.520678496,0.140233895,0.020054975,419.7165802,363.9670034
aids2,surv.kaplan.scale.encode.nop.ml_svm_van.tuned.compose_distr.compose_crank,Inf,0.552515769,0.552218163,0.991704786,0.514919029,0.684011059,745.2410361,510.3759578
aids2,surv.kaplan.scale.encode.nop.ml_ann_coxtime.tuned.compose_distr.compose_crank,1.001426091,0.527418441,0.518624365,0.925127423,0.138357005,0.017967463,426.6612903,368.3280846
aids2,surv.kaplan.scale.encode.nop.ml_ann_deephit.tuned.compose_distr.compose_crank,Inf,0.529343426,0.522191691,0.720436001,0.185613077,0.118319497,894.6798627,847.7974662
aids2,surv.kaplan.scale.encode.nop.ml_ann_deepsurv.tuned.compose_distr.compose_crank,0.99730248,0.513256007,0.511532926,0.984346676,0.13898809,0.018379477,437.4598272,375.8029587
aids2,surv.kaplan.scale.encode.nop.ml_ann_loghaz.tuned.compose_distr.compose_crank,0.58830439,0.546392977,0.534123313,0.762918031,0.155462725,0.023940046,411.6922505,356.2377944
aids2,surv.kaplan.scale.encode.nop.ml_ann_pchaz.tuned.compose_distr.compose_crank,0.813873677,0.518381566,0.517021269,0.904667318,0.143538612,0.020867678,351.0137015,297.0084276
aids2,surv.kaplan.scale.encode.nop.ml_ann_dnn.tuned.compose_distr.compose_crank,0.852340145,0.54161191,0.528345823,0.989235377,0.223994636,0.019856203,1024.930579,973.3939237
ALL,surv.kaplan.class_nonpar_kaplan.compose_distr.compose_crank,1.005694759,0.5,0.5,0.25,0.228684477,0.018903586,3559.46777,3506.857863
ALL,surv.kaplan.class_nonpar_nelson.compose_distr.compose_crank,1.00647124,0.5,0.5,0.25,0.228686996,0.018909405,3561.06406,3508.456832
ALL,surv.kaplan.class_nonpar_akritas.compose_distr.compose_crank,1.005708993,0.501688165,0.500005734,0.293742084,0.228676583,0.018903224,3559.343425,3506.733145
ALL,surv.kaplan.class_semipar_coxph.compose_distr.compose_crank,1.003016527,0.574202645,0.596121073,0.566964424,0.245440864,0.022377777,3520.545167,3432.106396
ALL,surv.kaplan.encode.nop.class_semipar_cvglmnet.tuned.compose_distr.compose_crank,1.005694759,0.5,0.5,0.25,0.228684477,0.018903586,3559.46777,3506.857863
ALL,surv.kaplan.class_semipar_penalized.tuned.compose_distr.compose_crank,1.000678958,0.574051475,0.595507991,0.950458193,0.243345169,0.021834862,3519.400818,3438.603203
ALL,surv.kaplan.class_par_param.tuned.compose_distr.compose_crank,0.980171264,0.572264731,0.593821323,0.642530536,0.243806897,0.023237943,789.355248,420.5982894
ALL,surv.kaplan.class_par_flex.tuned.compose_distr.compose_crank,1.002688915,0.574230385,0.595654428,0.567945635,0.246029683,0.02241886,789.355248,420.5982894
ALL,surv.kaplan.ml_ranfor_rfsrc_brier.tuned.compose_distr.compose_crank,1.075058571,0.56656096,0.571025026,0.956973898,0.288610565,0.284656563,2730.623774,2674.744819
ALL,surv.kaplan.ml_ranfor_rfsrc_logrank.tuned.compose_distr.compose_crank,1.078277187,0.566241098,0.570297504,0.956271637,0.290221484,0.284933294,2732.386071,2672.879025
ALL,surv.kaplan.ml_ranfor_ranger_c.tuned.compose_distr.compose_crank,1.001661565,0.565904427,0.579673541,0.956812143,0.243104405,0.023169903,3573.351956,3500.4939
ALL,surv.kaplan.ml_ranfor_rscif.tuned.compose_distr.compose_crank,1.44692339,0.566713059,0.577780521,0.956738174,0.38491083,0.645402069,3525.583927,3464.664551
ALL,surv.kaplan.ml_ranfor_rrt.tuned.compose_distr.compose_crank,0.365765795,0.506926143,0.507098186,0.304325223,0.347474163,0.041889302,1565.430827,1501.487858
ALL,surv.kaplan.ml_gbm_mboost_coxph.tuned.compose_distr.compose_crank,1.078601098,0.573955536,0.586560023,0.56758641,0.288716774,0.295062902,2741.020563,2666.996831
ALL,surv.kaplan.ml_gbm_mboost_cindex.tuned.compose_distr.compose_crank,1.000270554,0.56902175,0.577428722,0.437081134,0.22828787,0.023970153,3589.918254,3533.395475
ALL,surv.kaplan.ml_gbm_mboost_gehan.tuned.compose_distr.compose_crank,5551.398758,0.571544373,0.587521458,0.565159142,0.363182216,0.223526779,5897.165245,5856.12496
ALL,surv.kaplan.encode.nop.ml_gbm_coxboost.compose_distr.compose_crank,0.999584547,0.575695312,0.591047716,0.571650469,0.245949101,0.028448253,3566.135265,3470.488941
ALL,surv.kaplan.scale.encode.nop.ml_svm_van.tuned.compose_distr.compose_crank,Inf,0.539705551,0.558664572,0.953729689,0.410355889,0.77453855,802.0554998,422.8844709
ALL,surv.kaplan.scale.encode.nop.ml_ann_coxtime.tuned.compose_distr.compose_crank,0.999468334,0.52844742,0.546565658,0.932265854,0.224833177,0.020390072,3541.371785,3486.861494
ALL,surv.kaplan.scale.encode.nop.ml_ann_deephit.tuned.compose_distr.compose_crank,0.600913197,0.523444909,0.524504054,0.826778662,0.283969278,0.037764747,2822.297591,2767.740218
ALL,surv.kaplan.scale.encode.nop.ml_ann_deepsurv.tuned.compose_distr.compose_crank,1.000204963,0.543404019,0.549713588,0.956835961,0.230777327,0.02193243,3570.923222,3497.754729
ALL,surv.kaplan.scale.encode.nop.ml_ann_loghaz.tuned.compose_distr.compose_crank,0.467563147,0.50959028,0.531985474,0.797364092,0.328044911,0.043629745,2413.983479,2354.385208
ALL,surv.kaplan.scale.encode.nop.ml_ann_pchaz.tuned.compose_distr.compose_crank,0.432058587,0.517530203,0.518110734,0.812058854,0.379563745,0.062687184,1599.573476,1542.372888
ALL,surv.kaplan.scale.encode.nop.ml_ann_dnn.tuned.compose_distr.compose_crank,5904.781705,0.506890351,0.519872946,0.567858583,0.354387984,0.186718151,5361.344754,5314.610511
bmt,surv.kaplan.class_nonpar_kaplan.compose_distr.compose_crank,0.999662094,0.5,0.5,0.25,0.224874782,0.048593071,957.5071756,916.2943106
bmt,surv.kaplan.class_nonpar_nelson.compose_distr.compose_crank,1.008777909,0.5,0.5,0.25,0.224948737,0.048425302,965.5164505,924.4685137
bmt,surv.kaplan.class_nonpar_akritas.compose_distr.compose_crank,0.999662094,0.5,0.5,0.25,0.224874782,0.048593071,957.5101746,916.2973798
bmt,surv.kaplan.class_semipar_coxph.compose_distr.compose_crank,0.651187805,0.910158053,0.885235593,0.924556926,0.070996554,0.135827767,361.8912603,220.8163476
bmt,surv.kaplan.encode.nop.class_semipar_cvglmnet.tuned.compose_distr.compose_crank,13.7433011,0.913513631,0.889497846,0.806470126,0.338246632,0.13138757,1777.728053,1748.570758
bmt,surv.kaplan.class_semipar_penalized.tuned.compose_distr.compose_crank,0.963025208,0.920595914,0.89208971,0.994398564,0.172932984,1.048604699,208.7435365,142.1871058
bmt,surv.kaplan.class_par_param.tuned.compose_distr.compose_crank,0.830279048,0.899444237,0.87447226,0.913631067,0.195671546,0.129260129,476.5728396,351.6034324
bmt,surv.kaplan.class_par_flex.tuned.compose_distr.compose_crank,0.999662094,0.5,0.5,0.25,0.224874782,0.048593071,957.5071756,916.2943106
bmt,surv.kaplan.ml_ranfor_rfsrc_brier.tuned.compose_distr.compose_crank,1.648538078,0.92466709,0.891344219,0.997472689,0.131813173,0.568535397,486.6279448,470.5410908
bmt,surv.kaplan.ml_ranfor_rfsrc_logrank.tuned.compose_distr.compose_crank,1.429908857,0.918994129,0.884296745,0.997476771,0.134329897,0.566330426,500.0130032,480.9089505
