Data,Model,VanA,C_Harrell,C_Uno,C_Gonen,IGS,ILL,RMSE,MAE
Sim1,surv.kaplan.class_nonpar_kaplan.compose_distr.compose_crank,1.003284219,0.5,0.5,0.25,0.205830435,0.006564454,0.598884842,0.535757954
Sim1,surv.kaplan.class_nonpar_nelson.compose_distr.compose_crank,1.004313212,0.5,0.5,0.25,0.205834524,0.006568697,0.599140497,0.535993579
Sim1,surv.kaplan.class_nonpar_akritas.compose_distr.compose_crank,1.003284219,0.5,0.5,0.25,0.205830435,0.006564454,0.599744159,0.536548715
Sim1,surv.kaplan.class_semipar_coxph.compose_distr.compose_crank,1.221702829,0.980864882,0.98081404,0.977534294,0.133610807,0.10288112,0.217141518,0.102623961
Sim1,surv.kaplan.encode.nop.class_semipar_cvglmnet.tuned.compose_distr.compose_crank,Inf,0.980879545,0.980828702,0.972845554,0.45397728,0.357374854,0.787880777,0.591201573
Sim1,surv.kaplan.class_semipar_penalized.tuned.compose_distr.compose_crank,Inf,0.5,0.5,0.25,0.545741046,0.357720518,1.429249284,1.330968606
Sim1,surv.kaplan.class_par_param.tuned.compose_distr.compose_crank,0.962531243,0.980038881,0.979984522,0.55499661,0.033158043,0.002349049,3.591038194,3.553066172
Sim1,surv.kaplan.class_par_flex.tuned.compose_distr.compose_crank,1.003284219,0.5,0.5,0.25,0.205830435,0.006564454,0.598884842,0.535757954
Sim1,surv.kaplan.ml_ranfor_rfsrc_brier.tuned.compose_distr.compose_crank,1.043291709,0.97458899,0.974553764,0.668150485,0.015634103,0.001555735,0.080135874,0.063773008
Sim1,surv.kaplan.ml_ranfor_rfsrc_logrank.tuned.compose_distr.compose_crank,1.013999137,0.97533977,0.975261509,0.667714059,0.015472523,0.001457442,0.078230228,0.062349347
Sim1,surv.kaplan.ml_ranfor_ranger_c.tuned.compose_distr.compose_crank,1.044358592,0.977071345,0.976975143,0.65613544,0.021133838,0.002061001,0.16672073,0.151577249
Sim1,surv.kaplan.ml_ranfor_rscif.tuned.compose_distr.compose_crank,8292.981643,0.977935016,0.97784245,0.673337817,0.214691149,0.228423761,0.060079587,0.040341512
Sim1,surv.kaplan.ml_ranfor_rrt.tuned.compose_distr.compose_crank,0.231551983,0.923543274,0.923369467,0.777441561,0.219316255,0.050250878,0.550074066,0.417869564
Sim1,surv.kaplan.ml_gbm_mboost_coxph.tuned.compose_distr.compose_crank,0.987277861,0.980519831,0.980473816,0.955102563,0.012579832,0.000936824,0.061707165,0.042120838
Sim1,surv.kaplan.ml_gbm_mboost_cindex.tuned.compose_distr.compose_crank,1.108757613,0.967057288,0.966994703,0.536112249,0.172249929,0.005140296,0.521188272,0.469448857
Sim1,surv.kaplan.ml_gbm_mboost_gehan.tuned.compose_distr.compose_crank,5.542096861,0.980139256,0.980089486,0.555228353,0.350418526,0.020875048,1.108175938,1.012446843
Sim1,surv.kaplan.ml_gbm_coxboost.compose_distr.compose_crank,0.925723263,0.980846107,0.980795145,0.976587594,0.010625394,0.001202677,0.054381339,0.035421371
Sim1,surv.kaplan.scale.encode.nop.ml_svm_van.tuned.compose_distr.compose_crank,5512.64996,0.966272056,0.966302752,0.999788582,0.177090115,0.209099402,2.115923175,1.279327728
Sim1,surv.kaplan.scale.encode.nop.ml_ann_coxtime.tuned.compose_distr.compose_crank,1.077893982,0.967236102,0.967186868,0.667669475,0.023692562,0.001527793,0.101397893,0.070699067
Sim1,surv.kaplan.scale.encode.nop.ml_ann_deephit.tuned.compose_distr.compose_crank,0.413184239,0.951541185,0.951358855,0.550018191,0.300545658,0.098856668,0.59323939,0.450868622
Sim1,surv.kaplan.scale.encode.nop.ml_ann_deepsurv.tuned.compose_distr.compose_crank,1.421633328,0.806501329,0.806554675,0.596884787,0.128837714,0.004971733,0.401867335,0.330228704
Sim1,surv.kaplan.scale.encode.nop.ml_ann_loghaz.tuned.compose_distr.compose_crank,0.43028219,0.913423657,0.913093984,0.584913015,0.258790281,0.094828894,0.515167451,0.412191322
Sim1,surv.kaplan.scale.encode.nop.ml_ann_pchaz.tuned.compose_distr.compose_crank,0.777699021,0.944911838,0.944983125,0.586152494,0.222512944,0.098559653,0.561058339,0.463581534
Sim1,surv.kaplan.scale.encode.nop.ml_ann_dnn.tuned.compose_distr.compose_crank,0.51123356,0.972297013,0.972201765,0.651594937,0.085414026,0.009344744,0.359067272,0.340955152
Sim2,surv.kaplan.class_nonpar_kaplan.compose_distr.compose_crank,1.048056609,0.5,0.5,0.25,0.194118229,0.011442033,0.293315392,0.25792829
Sim2,surv.kaplan.class_nonpar_nelson.compose_distr.compose_crank,1.048779096,0.5,0.5,0.25,0.194124316,0.011448815,0.293395807,0.257998215
Sim2,surv.kaplan.class_nonpar_akritas.compose_distr.compose_crank,1.048056609,0.5,0.5,0.25,0.194118229,0.011442033,0.296878844,0.261063789
Sim2,surv.kaplan.class_semipar_coxph.compose_distr.compose_crank,0.901749226,0.984211445,0.984164655,0.977910042,0.010433021,0.001853734,0.027560737,0.019430572
Sim2,surv.kaplan.encode.nop.class_semipar_cvglmnet.tuned.compose_distr.compose_crank,Inf,0.984182298,0.984135389,0.962053537,0.683913486,0.353099257,0.308439408,0.248212691
Sim2,surv.kaplan.class_semipar_penalized.tuned.compose_distr.compose_crank,Inf,0.5,0.5,0.25,0.315716277,0.353935266,0.472037395,0.435049523
